COMMON 		 BOTANICAL 		 DESCRIPT 		 ID 		 GROWTH"""" 		 
Pink Chintz Thyme 		 Thymus serpyllum 'Pink Chintz' 		 1" h x 1.5' w. Gray-green leaves and salmon-pink flowers. Can be combined with other creeping thyme for groundcover. Sun; low-moderate water. Zones 5-10. 		 ThymSerPnk 		 1" h x 18" w"""" 		 

Horseradish 		 Armoracia rusticana 		 Very large green leaves to about 3' tall. Large roots are peeled, grated, and mixed with vinegar or cream to make a condiment. Sun to part shade; regular water. 		 ArmorRust 		 to 2'+ h; edible root" 		 

Victoria Cherry Rhubarb 		 Rheum rhabarbarum 'Victoria' 		 Very large leafed plant with greenish stems. The stems are cooked & eaten in pies, jams & desserts; leaves are poisonous. Sun at coast; part shade inland; regular water. 		 RheumVic 		 large clumps; edible"" 		 

Sweet Herb (Sweet Leaf) 		 Stevia rebaudiana 		 2' plant with delicate white flowers. Somewhat fussy plant to grow. Sun at coast to part sun in very hot climates; moderate water. Leaves are sweeter than sugar. 		 StevReb 		 to 2'; very sweet leaf 		 

Burgundy Wood Sorrel 		 Oxalis 'Burgundy' 		 Small perennial has deep burgundy clover-like leaves with lemon-yellow flowers striped with red inside and out. Sun to part shade in hottest climates; regular water. 		 OxalisBurg 		 up to 12" h x 18" w""" 		 

Sunset Velvet Wood Sorrel 		 Oxalis 'Sunset Velvet' 		 Perennial has orange-bronze-green clover-like leaves w/ lemon yellow flowers striped red inside & out. Leaves are pinker w/ more sun. Sun to part shade; regular water. 		 OxalisSunV 		 6-8" h x 12" w"""" 		 

Carman's Grey Rush 		 Juncus patens 'Carman's Grey' 		 Clumping blue-green rush 1-2' tall. Seedlike flowers in early summer. Prefers moist soil in sun to light shade, but tolerates dry conditions. Nice accent. Zones 7-10. 		 JuncCarmGr 		 1-2' h x w"""" 		 

Lime Thyme 		 Thymus x citriodorus 'Lime' 		 Low growing spring green thyme w/light lime scent. Both culinary & ornamental. Unique color combines well w/other thymes for variety. Sun to light shade; moderate water. 		 ThymCitLime 		 4-6" h x 8-12" w"""" 		 

Archer's Gold Thyme 		 Thymus x citriodorus 'Archer's Gold' 		 Low growing thyme with gold and green variegated leaves. New growth tends to be more gold, especially in winter. Some culinary use. Sun to light shade; moderate water. 		 ThymArchG 		 4-6" h x 8-12" w"""" 		 

Lemon Verbena 		 Aloysia triphylla 		 Deciduous shrub w/pointed, narrow, bright green leaves. Wonderful lemon fragrance. Used in sauces, teas, desserts, jellies, & potpourris. Sun-part shade; moderate water. 		 AloysTriph 		 6-8' h; fragrant"""" 		 

French Tarragon 		 Artemisia dracunculus var. 'Sativa' 		 Aromatic perennial with licorice scent and flavor. Used extensively in a variety of cuisines. Dormant in winter. Prefers to be in the ground with well-drained soil; sun. 		 ArtemSatFrT 		 to 1' h & spreading""" 		 

Pink Breath of Heaven 		 Coleonema pulchrum 		 Grows to 5' tall & wide. Tiny green leaves with an abundance of tiny pink flowers. Full sun to light shade; regular water. Looks somewhat like heather. 		 ColeoPulch 		 to 5' h x w; pink"""" 		 

Goodwin Creek Lavender 		 Lavandula x ginginsii 'Goodwin Creek' 		 Hybrid between L. dentata & L. lanata. 2-3' h x w woody shrub with silver-gray, slightly toothed leaves and deep violet-blue flower spikes. Sun; little water. Zones 8-10. 		 LavGoodCk 		 2-3' h x w"""" 		 

Silver Thyme 		 Thymus vulgaris 'Argenteus' 		 8-12" perennial with variegated silver & cream leaves. Flowers are pale pink. Culinary thyme as well as accent plant. Sun-light shade; poor soil; little-moderate water. 		 ThymVulgArg 		 8-12" h x w"""" 		 

Curry Plant 		 Helichrysum italicum 		 Small, very fragrant perennial smells very much like curry. To 30" high. Prefers sun, well-drained soil; little water. Flowers are small, yellow, and not showy. 		 HelichItal 		 to 30" h x w; fragrant 		 

Olallie Blackberry 		 Rubus sp. 'Olallie' 		 Trailing vine can be staked or trellised; not for containers. Medium-large black, firm berries. Sweet w/some wild blackberry flavor. Early. Sun; regular water. Zone 8. 		 RubOlallie 		 very popular"""" 		 

Labrador Violet 		 Viola labradorica 		 Purple-tinged, dark green leaves with small blue-purple flowers. 4-6" tall by 1' wide. Part to full shade; regular water; great as a woodland or rock garden plant. 		 ViolaLabra 		 4-6" h x 12" w; blue"" 		 

Yellow-eyed Grass 		 Sisyrinchium californicum 		 Native to coastal areas from CA to British Columbia. 6" to 2' high, 8-10" wide. Yellow flowers in late spring or early summer. Full sun to light shade; ample water. 		 SisyCal 		 varies from 6" to 2' h 		 

Blue-eyed Grass 		 Sisyrinchium bellum 		 Native to coast of CA & OR. 4"-2' high x 6"-2' wide. Bluish green leaves. Purple to blue-purple flowers in spring. Sun to light shade; moderate to regular water. 		 SisyBell 		 up to 2' in bloom"""" 		 

Lion's Tail 		 Leonotis leonurus 		 Evergreen shrub in mild climates; foliage will die back to the ground in cold areas. 4-6' tall. Flowers are furry & deep orange in summer & fall. Sun; little water. 		 LeoLeo 		 4-6' h x w"""" 		 

Sonoma Coast Yarrow 		 Achillea millefolium 'Sonoma Coast' 		 Brilliant green leaves with unusual texture which drape outward from the center of the plant. White flowers spikes up to 24". Sun to part shade inland; moderate water. 		 AchMilSonC 		 1-2'; white"""" 		 

California Mugwort 		 Artemisia douglasiana 		 Full sun; little to moderate water. 3' tall with sage-like odor. Native on stream banks, ditch banks, and recently disturbed areas. 		 ArtemDougl 		 to 3' h; strong scent" 		 

Blue Jeans Wild Lilac 		 Ceanothus 'Blue Jeans' 		 7-9' tall & wide with small, dark green, leathery leaves. Profuse pale powder-blue flowers. Tolerates heavy soil, drought, summer water. Shear after bloom for low hedge. 		 CeanBluJn 		 7-9' h x w"""" 		 

Emily Brown Wild Lilac 		 Ceanothus gloriosus var. exaltatus 'Emily Brown' 		 2-3' tall x 8-12' wide with dark green, holly-like leaves and dark violet-blue 1" flower clusters. Tolerates heavy soil & summer water near coast. Full sun; little water. 		 CeanGlorEmB 		 2-3' h x 8-12' w"""" 		 

Hearst Wild Lilac 		 Ceanothus hearstiorum 		 Very low-growing to 6" high by 6-8' wide. Puckered green 1 1/2" leaves with medium blue flower clusters. Spreads from the center like a star. Sun; little to no water. 		 CeanHearst 		 to 6" h x 6-8' w"""" 		 

Julia Phelps Wild Lilac 		 Ceanothus 'Julia Phelps' 		 4 1/2-7' tall x 7-9' wide. Small dark green leaves with dark indigo flower clusters. One of the best bloomers. Sun; little water. 		 CeanJuliaPh 		 4 1/2-7' h x 7-9' w""" 		 

Point Sierra Maritime Wild Lilac 		 Ceanothus maritimus 'Point Sierra' 		 1-3' tall x 3-8' wide. Blue-green small leaves are usually pale underneath. White to pale lavender flowers. Coastal plant, tolerant some heat. Sun; little water. 		 CeanPtSier 		 1-3' h x 3-8' w"""" 		 

Ray Hartman Wild Lilac 		 Ceanothus 'Ray Hartman' 		 12-20' high x 15-20' wide. Big, dark green leaves with medium-blue 3-5" spike-like flower clusters. Can be trained as a small tree. Sun; little to moderate water. 		 CeanRayHart 		 12-20' h x 15-20' w""" 		 

Skylark Wild Lilac 		 Ceanothus thyrsiflorus 'Skylark' 		 3-6' tall x 5' wide. Glossy, medium green leaves with dark blue flower clusters. Long bloom season. Tolerates summer water. Sun; little water. 		 CeanSkyLark 		 3-6' h x 5' w"""" 		 

Snowball Wild Lilac 		 Ceanothus rigidus 'Snowball' 		 6' tall x 12-16' wide. Dark green 1/2" leaves with 3/4" white puffs of flowers. Handsome, dense, mounding bush. Full sun; little water. Zones 8-10. 		 CeanSnowB 		 6' h x 12-16' w"""" 		 

Starfire Cigar Plant 		 Cuphea ignea 'Starfire' 		 Leafy, compact plant to about 18" x 18". Narrow leaves with tubular cigar-shaped flowers in purples & deep pink. Sun to part shade; moderate water. 		 CuphStarFir 		 18" h x w"""" 		 

Pink Jasmine 		 Jasminum polyanthum 		 Fast climbing vine to 20'. Bright green leaves. Fragrant flowers rose-pink outside; white inside. Blooms late winter & spring. Sun-light shade; moderate water. Zones 9-11 		 JasmPoly 		 vine; to 20' h"""" 		 

Dwarf Pomegranate 		 Punica granatum 'Nana' 		 Dense grower to 3' high x 6' wide. Blooms when a foot tall or less. Orange red single flowers followed by small, dry fruit. Nearly evergreen. Sun; moderate water. 		 PunNana 		 to 3' h x 6' w"""" 		 

Coffeeberry 		 Rhamnus californica 		 Native to CA & southwest OR. 1-3" gray-green leaves on 8'+ bush. Berries turn from green to red to black. Full sun to part shade; little to moderate water. 		 RhamCal 		 8'+ h x w"""" 		 

Eve Case Coffeeberry 		 Rhamnus californica 'Eve Case' 		 Native to CA. Dense growing 4-8' bush. Large, showy berries turn from green to red to black. Full sun to part shade; little to moderate water. Nice shape. Zones 6-10. 		 RhamEveC 		 4-8' h x w; dense"""" 		 

Mound San Bruno Coffeeberry 		 Rhamnus californica 'Mound San Bruno' 		 Native to CA. Narrow gray-green leaves on 4-6' bush. Berries turn from green to red to black. Full sun to part shade; little to moderate water. Zones 7-10. 		 RhamMdSnB 		 4-6' h x w; dense"""" 		 

Tomentella Coffeeberry 		 Rhamnus californica ssp. Tomentella' 		 Native to CA & southwest OR. 1-3" gray-green leaves on 4-8' bush. Berries turn from green to red to black. Full sun to part shade; little to moderate water. 		 RhamCalTom 		 4-8' h x w"""" 		 

Winter / Mexican Tarragon 		 Tagetes lucida 		 Grows to 3' high with yellow flowers. Leaves smell and taste like tarragon and are used as a tarragon substitute. Sun; moderate to regular water. 		 TagLuc 		 to 3' h & w"""" 		 

Feverfew 		 Tanacetum parthenium 		 Feathery leaves have a strong, peppery scent. Grows to 3' tall. Profuse white, daisy-like blooms. Sun; moderate water. Some people use leaves to prevent migraines. 		 TanParthen 		 to 3' h x 2' w"""" 		 

Giant Chain Fern 		 Woodwardia fimbriata 		 One of the largest native Western ferns. Can reach 9' tall but generally 4-5'. Needs moist, shady area, but can tolerate full sun w/ enough water. Thick, leathery fronds. 		 WoodFimb 		 usually 4-5' tall"""" 		 

Northern Lights Hairgrass 		 Deschampsia caespitosa 'Northern Lights' 		 Mound-forming perennial grass 1-3' high. Leaves are red, gold, green, and white. Moist, rich soil in part shade; do not let plant dry out completely. Does dry heat. 		 DeschNorth 		 1-3' h; mounding"""" 		 

Blue Moor Grass 		 Sesleria caerulea 		 Leaves are dark green on top and bluish-white underneath. 6-12" mounds with flowers from March-June. Moist, well-drained, rich soil; sun to light shade. 		 SesCaer 		 6-12" mounds"""" 		 

Strawberry Tree 		 Arbutus unedo 		 Tolerates wide range of climates & soils. Sun; needs part shade in hot climates. 8-35' high with equal spread. Fruits are edible but bland. Red-brown bark; green leaves. 		 ArbUnedo 		 8 to 35' tall"""" 		 

Fernleaf Catalina Ironwood 		 Lyonothamnus floribundus aspleniifolius 		 Native to Channel Islands of So. Cal. 20-35' high by 15' wide. Red-brown bark peels in long strips. Small white flowers in late spring. Sun; moderate water. 		 LyonoFlorAs 		 20-35' h x 15' w"""" 		 

Catalina Cherry 		 Prunus ilicifolia ssp. lyonii 		 Native to Channel Islands of So. Cal. Can grow to 45' in the wild; more often 15-20' in the garden. Full sun; moderate water. Creamy white flowers & dark red fruit. 		 PrunLyon 		 15-20' h x 12'+ w"""" 		 

Sequoia Strawberry 		 Fragaria x ananassa 'Sequoia' 		 Very large, medium red berries. Considered everbearing. Sweetest, best-tasting strawberry; does not ship well. Top berry for home use. Sun; regular water. Zones 5-9. 		 FragSequoi 		 large, sweet berries"" 		 

Green Santolina 		 Santolina virens (rosmarinifolia) 		 Grows 2-3' tall with narrow green toothed leaves and yellow button-like flowers. Can be sheared into hedges. Full sun; little to no water. Some culinary & medicinal uses. 		 SantVirens 		 2-3' h x w"""" 		 

Yerba Buena 		 Satureja douglasii 		 Grows to 6" tall x 3' wide; stems root as they touch ground. Leaves have strong minty scent - use in tea. Tiny white flowers in spring. Part shade; moderate water. 		 SatDougl 		 6" h x 3' w"""" 		 

Viola 'Freckles' 		 Viola sororia 'Freckles' 		 4-6" high x 8" wide with slightly heart-shaped leaves. Flowers are white heavily dotted with blue-lavender. Part shade; regular water. Good groundcover. 		 ViolaFreckl 		 4-6" h x 8" w"""" 		 

Chandler Strawberry 		 Fragaria x ananassa 'Chandler' 		 Large juicy berries over a long period. Excellent flavor & good texture. Grows well in California. Sun & regular water. Do not plant too deeply. Zones 5-9. 		 FragChandl 		 large, juicy berries"" 		 

Greek Oregano 		 Origanum vulgare 'Hirtum' 		 Larger leaves than other oreganos with strong oregano flavor and spicy bite. Sun to part shade; moderate water. Small white flowers. Great culinary oregano. 		 OrigVulHir 		 6-12" h x 12-18" w"""" 		 

Bowle's Mauve Wallflower 		 Erysimum linifolium 'Bowle's Mauve' 		 To 3' tall; 4-6' wide with narrow gray-green leaves; tall spike-like clusters of mauve flowers. Best in cool summers & mild winters. Sun to light shade; moderate water. 		 ErysBowleM 		 to 3' h x 4-6' w"""" 		 

Tangerine Sage 		 Salvia elegans cv.  'Tangerine' 		 Similar to pineapple sage, w/ tangerine scent. To 3' tall; scarlet flowers; green-gray leaves. Sun to part shade; moderate water. Blooms in fall. Will regrow after frost. 		 SalvElegTng 		 to 3' h x w"""" 		 

Gray French Lavender 		 Lavandula dentata 		 Narrow gray-green leaves are heavily toothed along the edges. Pale lavender blooms w/short bracts. Grows to 3-4' tall x 4-6' wide. Long bloom season. Sun; moderate water. 		 LavDentGry 		 3-4' h x 4-6' w"""" 		 

Crimson Butterflies Gaura 		 Gaura lindheimeri 'Crimson Butterflies' 		 Airy growth to 2 1/2 - 4' tall. Burgundy-green leaves with dark pink flowers. Long-lived plant which is very drought tolerant. Sun; moderate water. Will reseed. 		 GauraCrims 		 2 1/2 - 4' h in bloom" 		 

Pineapple Sage 		 Salvia elegans 		 Strong pineapple scent; grows to 3' tall with scarlet flowers & green leaves. Sun to part shade; moderate water. Blooms in fall. Will regrow after frost. Use in teas. 		 SalvElegans 		 3' h x 3-4' w"""" 		 

Star Jasmine 		 Trachelospermum jasminoides 		 Can be a climbing vine or a spreading shrubby groundcover. Sun-light shade in hottest climates; regular water.  Slow grower to 3-6' h x w. White flowers. Zones 8-10. 		 TrachJasm 		 3-6' h x w; slow"""" 		 

Dancing Flame Salvia 		 Salvia splendens 'Dancing Flame' 		 Tender perennial to 3' tall. Interesting gold-green variegation on leaves; bright scarlet flowers. Needs part shade, especially inland; regular water. Unusual plant. 		 SalvSplDanc 		 2-3' h x w"""" 		 

Munstead Lavender 		 Lavandula angustifolia 'Munstead' 		 Semi-dwarf lavender to 18" h x 24" w. Bright lavender-blue flowers and green-gray foliage. Long bloom season; sweet fragrance. Sun; moderate water. Zones 5-10. 		 LavMunst 		 18" h x 24" w"""" 		 

Narrow-leaf Butterfly Mint 		 Monardella linoides ssp Viminea 		 Aromatic perennial native to California. Semi sprawling plant up to 2' tall. Needs good drainage; full sun; little water. Small flowers. 		 MonaVim 		 to 2' h x w"""" 		 

Dara's Choice Sage 		 Salvia 'Dara's Choice' 		 Low-growing, spreading salvia 1 1/2' tall x 4-6' wide. Blue-purple flowers in spring. Needs well-drained soil; sun; little to moderate water. From S. sonomensis seed. 		 SalvDaraC 		 18" h x 4-6' w"""" 		 

PomPom Asparagus Fern 		 Asparagus retrofractus 		 Erect, shrubby, slightly climbing, tender "fern." Clusters of small white flowers. Good in containers, flower arrangements. Part shade; regular water. 		 AspRetro 		 1-2' h; slow grower""" 		 

Boule Rosemary 		 Rosmarinus officinalis 'Boule' 		 2-3' high and wide with attractive shape and medium blue flowers. Little to moderate water; full sun; well-drained soil. Hardy to 15 F. 		 RosmBoule 		 2-3' h x w"""" 		 

Irene Trailing Rosemary 		 Rosmarinus officinalis 'Irene' 		 Spreads vigorously up to 2-3' each year; mounds to 1 1/2' high. Deep lavender-blue flowers. One of the nicest trailing rosemaries for  walls. Sun; moderate water. 		 RosmIrene 		 18" h & spreading"""" 		 

Spice Island Rosemary 		 Rosmarinus officinalis 'Spice Island' 		 Upright rosemary 5' tall with slightly broader leaves than other rosemaries. Pleasant rosemary flavor; not overpowering. Branch tips will burn in frost. Sun; avg water. 		 RosmSpice 		 to 5' h; culinary"""" 		 

Germander 		 Teucrium chamaedrys 		 2' perennial with dark green, glossy leaves. Makes a great hedge or border plant. Flowers are deep pink. Full to part sun; little to moderate water. 		 TeucCham 		 2' h x w"""" 		 
